"Widget Insertion","Widget Insertion",module,Magento_Widget
"Insert Widget","Insert Widget",module,Magento_Widget
"label","oznaka",module,Magento_Widget
"Choose...","Choose...",module,Magento_Widget
"Close","Zapri",module,Magento_Widget
"Not Selected","Not Selected",module,Magento_Widget
"Widget","Widget",module,Magento_Widget
"Widget Type","Widget Type",module,Magento_Widget
"-- Please Select --","-- Izberite --",module,Magento_Widget
"Manage Widget Instances","Manage Widget Instances",module,Magento_Widget
"Add Widget","Add Widget",module,Magento_Widget
"Save and Continue Edit","Shrani in nadaljuj urejanje",module,Magento_Widget
"Widget ""%1""","Widget ""%1""",module,Magento_Widget
"New Widget Instance","New Widget Instance",module,Magento_Widget
"Custom Layouts","Custom Layouts",module,Magento_Widget
"Page Layouts","Page Layouts",module,Magento_Widget
"Please Select Container First","Please Select Container First",module,Magento_Widget
"Storefront Properties","Prodajalne lastnosti",module,Magento_Widget
"Type","Vrsta",module,Magento_Widget
"Design Package/Theme","Design Package/Theme",module,Magento_Widget
"Widget Title","Widget Title",module,Magento_Widget
"Assign to Store Views","Assign to Store Views",module,Magento_Widget
"Sort Order","Vrstni red",module,Magento_Widget
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container",module,Magento_Widget
"Layout Updates","Layout Updates",module,Magento_Widget
"Categories","Kategorije",module,Magento_Widget
"Anchor Categories","Anchor Categories",module,Magento_Widget
"Non-Anchor Categories","Non-Anchor Categories",module,Magento_Widget
"All Product Types","All Product Types",module,Magento_Widget
"Products","Izdelki",module,Magento_Widget
"Generic Pages","Generic Pages",module,Magento_Widget
"All Pages","All Pages",module,Magento_Widget
"Specified Page","Specified Page",module,Magento_Widget
"Add Layout Update","Add Layout Update",module,Magento_Widget
"Remove Layout Update","Remove Layout Update",module,Magento_Widget
"Widget Options","Widget Options",module,Magento_Widget
"Settings","Settings",module,Magento_Widget
"Design Theme","Tema oblike",module,Magento_Widget
"Continue","Nadaljuj",module,Magento_Widget
"Please specify a Widget Type.","Please specify a Widget Type.",module,Magento_Widget
"CMS","CMS",module,Magento_Widget
"Please specify a correct widget.","Please specify a correct widget.",module,Magento_Widget
"The widget instance has been deleted.","The widget instance has been deleted.",module,Magento_Widget
"New Widget","New Widget",module,Magento_Widget
"Widgets","Widgets",module,Magento_Widget
"The widget instance has been saved.","The widget instance has been saved.",module,Magento_Widget
"name","ime",module,Magento_Widget
"description","description",module,Magento_Widget
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information.",module,Magento_Widget
"None","Brez",module,Magento_Widget
"%1","%1",module,Magento_Widget
"Container","Container",module,Magento_Widget
"Template","Predloga",module,Magento_Widget
"All","Vse",module,Magento_Widget
"Specific %1","Specific %1",module,Magento_Widget
"Open Chooser","Odpri izbirnik",module,Magento_Widget
"Apply","Uporabi",module,Magento_Widget
"Page","Page",module,Magento_Widget
"Orders and Returns","Naročila in reklamacije",module,Magento_Widget
"Orders and Returns Search Form","Obrazec iskanja za naročila in vračila",module,Magento_Widget
"Anchor Custom Title","Anchor Custom Title",module,Magento_Widget
"CMS Page Link Block Template","CMS Page Link Block Template",module,Magento_Widget
"CMS Page Link Inline Template","CMS Page Link Inline Template",module,Magento_Widget
"Display a Link to Loading a Spreadsheet","Prikaži povezavo za nalaganje preglednice",module,Magento_Widget
"Defines whether a link to My Account","Določa, ali naj povezuje na moj račun",module,Magento_Widget
"Link Text","Besedilo povezave",module,Magento_Widget
"The text of the link to the My Account &gt; Order by SKU page","Besedilo povezave na moj račun &gt; Razvrščeno po SKU strani",module,Magento_Widget
"Load a list of SKUs","Nalaganje seznama SKU",module,Magento_Widget
"Product","Izdelek",module,Magento_Widget
"Select Product...","Izberite izdelek...",module,Magento_Widget
"Conditions","Pogoji",module,Magento_Widget
"Widget ID","ID pripomočka",module,Magento_Widget
