"Operation allowed only in HTTPS","Operacija je dovoljena samo v načinu HTTPS",module,Magento_Webapi
"Cannot perform GET operation with store code \'all\'","Cannot perform GET operation with store code \'all\'",module,Magento_Webapi
"Request does not match any route.","Request does not match any route.",module,Magento_Webapi
"Authentication header format is invalid.","Authentication header format is invalid.",module,Magento_Webapi
"Authentication header is absent.","Authentication header is absent.",module,Magento_Webapi
"Not allowed parameters: %1. Please use only %2 and %3.","Not allowed parameters: %1. Please use only %2 and %3.",module,Magento_Webapi
"Requested service is not available: ""%1""","Requested service is not available: ""%1""",module,Magento_Webapi
"Operation ""%1"" not found.","Operation ""%1"" not found.",module,Magento_Webapi
"SOAP extension is not loaded.","SOAP extension is not loaded.",module,Magento_Webapi
"Invalid XML","Invalid XML",module,Magento_Webapi
"Invalid XML: Detected use of illegal DOCTYPE","Invalid XML: Detected use of illegal DOCTYPE",module,Magento_Webapi
"message","sporočilo",module,Magento_Webapi
"Message","Sporočilo",module,Magento_Webapi
"Magento Web API","Magento spletni API",module,Magento_Webapi
"SOAP Settings","SOAP nastavitve",module,Magento_Webapi
"Default Response Charset","Nabor znakov privzetega odgovora",module,Magento_Webapi
"If empty, UTF-8 will be used.","Če je prazno, bo uporabljen UTF-8.",module,Magento_Webapi
"Web Services Configuration","Konfiguracija spletnih storitev",module,Magento_Webapi
"REST and SOAP configurations, generated WSDL file.","REST in SOAP konfiguracije, generirana datoteka WSDL.",module,Magento_Webapi
"Consumer is not authorized to access %resources","Consumer is not authorized to access %resources",module,Magento_Webapi
"Cannot perform GET operation with store code 'all'","Cannot perform GET operation with store code 'all'",module,Magento_Webapi
"Soap fault reason.","Soap fault reason.",module,Magento_Webapi
"Manage Customers","Upravljanje strank",module,Magento_Webapi
"Create Customer","Ustvari stranko",module,Magento_Webapi
"Edit Customer","Urejanje stranke",module,Magento_Webapi
"Get Customer","Dobi stranko",module,Magento_Webapi
"Delete Customer","Izbriši stranko",module,Magento_Webapi
"REST and SOAP configurations, generated WSDL file","REST in SOAP nastavitve, generirana datoteka WSDL",module,Magento_Webapi
