"Filterable (with results)","Filtrirno (z rezultati)",module,Magento_LayeredNavigation
"Filterable (no results)","Filtrirno (ni rezultatov)",module,Magento_LayeredNavigation
"No","Ne",module,Magento_LayeredNavigation
"Use in Layered Navigation","Uporabi v večstopenjski navigaciji",module,Magento_LayeredNavigation
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price",module,Magento_LayeredNavigation
"Use in Search Results Layered Navigation","Use in Search Results Layered Navigation",module,Magento_LayeredNavigation
"Position","Položaj",module,Magento_LayeredNavigation
"Position in Layered Navigation","Position in Layered Navigation",module,Magento_LayeredNavigation
"Position of attribute in layered navigation block","Position of attribute in layered navigation block",module,Magento_LayeredNavigation
"item","element",module,Magento_LayeredNavigation
"items","elementi",module,Magento_LayeredNavigation
"Now Shopping by","Zdaj nakupuje z",module,Magento_LayeredNavigation
"Previous","Prejšnja",module,Magento_LayeredNavigation
"Remove","Odstrani",module,Magento_LayeredNavigation
"Remove This Item","Odstrani ta element",module,Magento_LayeredNavigation
"Shop By","Kupujte po",module,Magento_LayeredNavigation
"Clear All","Počisti vse",module,Magento_LayeredNavigation
"Shopping Options","Nakupovalne možnosti",module,Magento_LayeredNavigation
"Layered Navigation","Večstopenjska navigacija",module,Magento_LayeredNavigation
"Display Product Count","Število prikazov izdelka",module,Magento_LayeredNavigation
"Price Navigation Step Calculation","Izračun navigacijskega koraka cene",module,Magento_LayeredNavigation
"Default Price Navigation Step","Privzeti navigacijski korak cene",module,Magento_LayeredNavigation
"Maximum Number of Price Intervals","Največje število cenovnih intervalov",module,Magento_LayeredNavigation
"Maximum number of price intervals is 100","Največje število cenovnih intervalov je 100",module,Magento_LayeredNavigation
"Display Price Interval as One Price","Prikaži cenovni interval kot eno ceno",module,Magento_LayeredNavigation
"This setting will be applied when all prices in the specific price interval are equal.","Ta nastavitev bo uporabljena, ko bodo vse cene v določenem cenovnem intervalu enake.",module,Magento_LayeredNavigation
"Interval Division Limit","Omejitev delitve intervala",module,Magento_LayeredNavigation
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals.",module,Magento_LayeredNavigation
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price.",module,Magento_LayeredNavigation
"Position of attribute in layered navigation block.","Position of attribute in layered navigation block.",module,Magento_LayeredNavigation
