"UPS","UPS",module,Magento_Ups
"Access License Number","Licenčna številka dostopa",module,Magento_Ups
"Enabled for Checkout","Omogočeno za nakup",module,Magento_Ups
"Allowed Methods","Dovoljene metode",module,Magento_Ups
"Packages Request Type","Vrsta zahteve paketov",module,Magento_Ups
"Container","Kontejner",module,Magento_Ups
"Free Shipping Amount Threshold","Mejni znesek brezplačne dostave",module,Magento_Ups
"Destination Type","Ciljna vrsta",module,Magento_Ups
"Free Method","Brezplačen način",module,Magento_Ups
"Gateway URL","URL prehoda",module,Magento_Ups
"Gateway XML URL","XML URL prehoda",module,Magento_Ups
"Calculate Handling Fee","Izračun takse za stroške obdelave",module,Magento_Ups
"Handling Applied","Uporabljena obdelava",module,Magento_Ups
"Handling Fee","Taksa za stroške obdelave",module,Magento_Ups
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Največja teža paketa (posvetujte se z vašim prevoznikom za največjo podprto težo pošiljke)",module,Magento_Ups
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Najmanjša teža paketa (posvetujte se z vašim prevoznikom za najmanjšo podprto težo pošiljke)",module,Magento_Ups
"Origin of the Shipment","Izvor pošiljke",module,Magento_Ups
"Password","Geslo",module,Magento_Ups
"Pickup Method","Način prevzema",module,Magento_Ups
"Sort Order","Vrstni red",module,Magento_Ups
"Title","Naslov",module,Magento_Ups
"Tracking XML URL","XML URL za sledenje",module,Magento_Ups
"UPS Type","Vrsta UPS",module,Magento_Ups
"Live account","Račun v živo",module,Magento_Ups
"Weight Unit","Enota teže",module,Magento_Ups
"User ID","ID uporabnika",module,Magento_Ups
"Enable Negotiated Rates","Omogoči pogajalne stopnje",module,Magento_Ups
"Shipper Number","Številka pošiljatelja",module,Magento_Ups
"Required for negotiated rates; 6-character UPS","Zahtevano za pogajalne stopnje; 6-znakov UPS",module,Magento_Ups
"Ship to Applicable Countries","Dostava v države, ki se uporabljajo",module,Magento_Ups
"Ship to Specific Countries","Dostava v določene države",module,Magento_Ups
"Show Method if Not Applicable","Prikaži način, če ni v uporabi",module,Magento_Ups
"Displayed Error Message","Prikazano sporočilo napake",module,Magento_Ups
"Mode","Način",module,Magento_Ups
"This enables or disables SSL verification of the Magento server by UPS.","To omogoči ali onemogoči preverjanje SSL Magento strežnika z UPS.",module,Magento_Ups
"Debug","Razhroščevanje",module,Magento_Ups
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Žal, nekaj je šlo narobe. Prosimo, poskusite znova ali pa nas kontaktirajte in bomo skušali pomagati.",module,Magento_Ups
"We can't convert a rate from %1-%2"".""","Stopnje ni mogoče pretvoriti iz ""%1-%2"".",module,Magento_Ups
"Field ","Polje ",module,Magento_Ups
" is required."," je obvezno.",module,Magento_Ups
"Live Account","Račun Live",module,Magento_Ups
"UPS Next Day Air","UPS Next Day Air",module,Magento_Ups
"UPS Second Day Air","UPS Second Day Air",module,Magento_Ups
"UPS Ground","UPS po tleh",module,Magento_Ups
"UPS Worldwide Express","UPS Worldwide Express",module,Magento_Ups
"UPS Worldwide Expedited","UPS Worldwide Expedited",module,Magento_Ups
"UPS Standard","UPS Standard",module,Magento_Ups
"UPS Three-Day Select","UPS Three-Day Select",module,Magento_Ups
"UPS Next Day Air Saver","UPS Next Day Air Saver",module,Magento_Ups
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M.",module,Magento_Ups
"UPS Worldwide Express Plus","UPS Worldwide Express Plus",module,Magento_Ups
"UPS Second Day Air A.M.","UPS Second Day Air A.M.",module,Magento_Ups
"UPS Saver","UPS Saver",module,Magento_Ups
"UPS Worldwide Saver","UPS Worldwide Saver",module,Magento_Ups
"UPS Express","UPS Express",module,Magento_Ups
"UPS Expedited","UPS Expedited",module,Magento_Ups
"UPS Express Early A.M.","UPS Express Early A.M.",module,Magento_Ups
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM",module,Magento_Ups
"UPS Today Standard","UPS Today Standard",module,Magento_Ups
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier",module,Magento_Ups
"UPS Today Intercity","UPS Today Intercity",module,Magento_Ups
"UPS Today Express","UPS Today Express",module,Magento_Ups
"UPS Today Express Saver","UPS Today Express Saver",module,Magento_Ups
"UPS Express Plus","UPS Express Plus",module,Magento_Ups
"Next Day Air Early AM","Next Day Air Early AM",module,Magento_Ups
"Next Day Air Early AM Letter","Next Day Air Early AM Letter",module,Magento_Ups
"Next Day Air","Next Day Air",module,Magento_Ups
"Next Day Air Letter","Next Day Air Letter",module,Magento_Ups
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)",module,Magento_Ups
"Next Day Air Saver","Next Day Air Saver",module,Magento_Ups
"Next Day Air Saver Letter","Next Day Air Saver Letter",module,Magento_Ups
"2nd Day Air AM","2nd Day Air AM",module,Magento_Ups
"2nd Day Air AM Letter","2nd Day Air AM Letter",module,Magento_Ups
"2nd Day Air","2nd Day Air",module,Magento_Ups
"2nd Day Air Letter","2nd Day Air Letter",module,Magento_Ups
"3 Day Select","3 Day Select",module,Magento_Ups
"Ground","Po tleh",module,Magento_Ups
"Ground Commercial","Ground Commercial",module,Magento_Ups
"Ground Residential","Ground Residential",module,Magento_Ups
"Canada Standard","Canada Standard",module,Magento_Ups
"Worldwide Express","Worldwide Express",module,Magento_Ups
"Worldwide Express Saver","Worldwide Express Saver",module,Magento_Ups
"Worldwide Express Letter","Worldwide Express Letter",module,Magento_Ups
"Worldwide Express Plus","Worldwide Express Plus",module,Magento_Ups
"Worldwide Express Plus Letter","Worldwide Express Plus Letter",module,Magento_Ups
"Worldwide Expedited","Worldwide Expedited",module,Magento_Ups
"Customer Packaging","Pakiranje kupca",module,Magento_Ups
"UPS Letter Envelope","UPS Letter Envelope",module,Magento_Ups
"Customer Supplied Package","Paket dobavljen od kupca",module,Magento_Ups
"UPS Tube","UPS Tube",module,Magento_Ups
"PAK","PAK",module,Magento_Ups
"UPS Express Box","UPS Express Box",module,Magento_Ups
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo",module,Magento_Ups
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo",module,Magento_Ups
"Pallet","Pallet",module,Magento_Ups
"Small Express Box","Small Express Box",module,Magento_Ups
"Medium Express Box","Medium Express Box",module,Magento_Ups
"Large Express Box","Large Express Box",module,Magento_Ups
"Residential","Residential",module,Magento_Ups
"Commercial","Commercial",module,Magento_Ups
"Pounds","Funti",module,Magento_Ups
"Kilograms","Kilogrami",module,Magento_Ups
"Sorry, something went wrong. Please try again or contact us and we\'ll try to help.","Žal, nekaj je šlo narobe. Prosimo, poskusite znova ali pa nas kontaktirajte in bomo skušali pomagati.",module,Magento_Ups
"We can\'t convert a rate from ""%1-%2"".","Stopnje ni mogoče pretvoriti iz ""%1-%2"".",module,Magento_Ups
"Cannot retrieve shipping rates","Ni mogoče pridobiti stopenj pošiljke",module,Magento_Ups
"status","stanje",module,Magento_Ups
"error_message","error_message",module,Magento_Ups
"Empty response","Prazen odgovor",module,Magento_Ups
"Delivery Confirmation","Potrditev dostave",module,Magento_Ups
"Signature Required","Podpis je obvezen",module,Magento_Ups
"Adult Signature Required","Zahtevan podpis odrasle osebe",module,Magento_Ups
"Not Required","Ni zahtevano",module,Magento_Ups
"None","Brez",module,Magento_Ups
"label","oznaka",module,Magento_Ups
"United Parcel Service","United Parcel Service",module,Magento_Ups
"United Parcel Service XML","United Parcel Service XML",module,Magento_Ups
