"Merchant Location","Prodajno mesto","module","Magento_Paypal"
"Merchant Country","Država trgovca","module","Magento_Paypal"
"If not specified, Default Country from General Config will be used","Če ni določeno, bo uporabljena privzeta država iz splošnih nastavitev","module","Magento_Paypal"
"
                    PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>
                ","
                    PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Sprejemanje in obdelava kreditnih kartic in plačil PayPal.</i>
                ","module","Magento_Paypal"
"Choose a secure bundled payment solution for your business.","Izberite varen komplet plačilni rešitev za vaše podjetje.","module","Magento_Paypal"
"Payments Pro and Express Checkout","Payments Pro in Express Checkout","module","Magento_Paypal"
"Basic Settings - PayPal Payments Pro","PayPal Payments Pro - osnovne nastavitve","module","Magento_Paypal"
"PayPal Payment Gateways","PayPal Payment Gateways","module","Magento_Paypal"
"Process payments using your own internet merchant account.","Obdelava plačil z uporabo vašega lastnega internetnega računa trgovca.","module","Magento_Paypal"
"PayPal Express Checkout","PayPal Express Checkout","module","Magento_Paypal"
"Add another payment method to your existing solution or as a stand-alone option.","Dodajte drug način plačila k vaši obstoječi rešitvi ali pa kot samostojno možnost.","module","Magento_Paypal"
"1","1","module","Magento_Paypal"
"Accept payments with a completely customizable checkout page.","Sprejmi plačila s popolnoma prilagodljivo stranjo za plačilo.","module","Magento_Paypal"
"PayPal Payment Solutions","Rešitve plačevanja s PayPal","module","Magento_Paypal"
"Express Checkout","Hitro plačilo","module","Magento_Paypal"
"Add PayPal as an additional payment method to your checkout page.","Dodaj PayPal na vašo stran za plačilo kot dodatni način plačila.","module","Magento_Paypal"
"Required PayPal Settings","Zahtevane nastavitve PayPal","module","Magento_Paypal"
"Email Associated with PayPal Merchant Account","E-pošta, povezana s trgovskim računom PayPal","module","Magento_Paypal"
"
                        <a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>
                    ","
                        <a href=""http://www.magentocommerce.com/paypal"">Pričnite prejemati plačila preko PayPal!</a>
                    ","module","Magento_Paypal"
"Don't have a PayPal account? Simply enter your email address.","Še nimate računa PayPal? Enostavno vnesite naslov vaše e-pošte.","module","Magento_Paypal"
"API Authentication Methods","Načini preverjanja pristnosti API","module","Magento_Paypal"
"API Username","Uporabniško ime API","module","Magento_Paypal"
"API Password","Geslo API","module","Magento_Paypal"
"Get Credentials from PayPal","Pridobite poverilnice od PayPal-a","module","Magento_Paypal"
"Sandbox Credentials","Poverilnice peskovnika","module","Magento_Paypal"
"Sandbox Mode","Način peskovnika","module","Magento_Paypal"
"API Uses Proxy","API uporablja proski","module","Magento_Paypal"
"Proxy Host","Gostitelj proksi-ja","module","Magento_Paypal"
"Proxy Port","Vrata proksi-ja","module","Magento_Paypal"
"Enable this Solution","Omogoči to rešitev","module","Magento_Paypal"
"Enable PayPal Credit","Omogoči PayPal Credit","module","Magento_Paypal"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>
                ","PayPal Express Checkout vam omogoča, da date strankam dostop do financiranja preko PayPal Credit&#174; - brez dodatnih stroškov za vas.
                        Plačilo dobite vnaprej, čeprav imajo stranke za plačilo več časa. Vnaprej integrirani gum omogoča strankam hitro plačilo s PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Izvedite več</a>
                ","module","Magento_Paypal"
"Advertise PayPal Credit","Oglaševanje PayPal Credit","module","Magento_Paypal"
"
                    <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                ","
                    <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Zakaj oglaševati financiranje?</a><br/>
                        <strong>Povečajte vašo prodajo, ko oglašujete financiranje.</strong><br/>PayPal vam pomaga konvertirati brskalnike v kupce s pomočjo financiranja
                        iz PayPal Credit&#174;. Vaše stranje imajo več časa za plačilo, medtem ko vi dobite plačilo vnaprej – brez dodatnih stroškov za vas.
                        Uporabite brezplačne oglaševalske pasice PayPal, ki vam omogočajo oglaševati financiranje PayPal Credit&#174; kot možnost plačila, ko vaše stranke plačajo s PayPal.
                        Izkazalo se je, da PayPal Advertising Program generira dodatne nakupe kot tudi poveča povprečni nakup potrošnikov do 15%
                        ali več. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Poglejte podrobnosti</a>.
                ","module","Magento_Paypal"
"Publisher ID","ID založnika","module","Magento_Paypal"
"Required to display a banner","Zahtevano za prikaz pasice","module","Magento_Paypal"
"Get Publisher ID from PayPal","Dobite ID založnika iz PayPal-a","module","Magento_Paypal"
"Home Page","Domača stran","module","Magento_Paypal"
"Display","Prikaz","module","Magento_Paypal"
"Position","Položaj","module","Magento_Paypal"
"Size","Velikost","module","Magento_Paypal"
"Catalog Category Page","Stran kategorije kataloga","module","Magento_Paypal"
"Catalog Product Page","Stran kataloškega izdelka","module","Magento_Paypal"
"Checkout Cart Page","Stran plačila košarice","module","Magento_Paypal"
"Basic Settings - PayPal Express Checkout","Osnovne nastavitve - PayPal Express Checkout","module","Magento_Paypal"
"Title","Naslov","module","Magento_Paypal"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","To vrednost je priporočljivo nastaviti na ""Magento_Paypal"" glede na pogled trgovine.","module","Magento_Paypal"
"Sort Order","Vrstni red","module","Magento_Paypal"
"Payment Action","Dejanje plačila","module","Magento_Paypal"
"Display on Product Details Page","Prikaz na strani podrobnosti izdelka","module","Magento_Paypal"
"Authorization Honor Period (days)","Obdobje upoštevanja avtorizacije (dnevi)","module","Magento_Paypal"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Določa, kakšno je obdobje upoštevanja avtorizacije na trgovskem računu PayPal. Mora biti sorazmerno z nastavitvijo v PayPal-u.","module","Magento_Paypal"
"Order Valid Period (days)","Veljavno obdobje naročila (dnevi)","module","Magento_Paypal"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Določa, kolikšno je veljavno obdobje naročila na trgovčevem računu PayPal. Ta mora biti sorazmerna z nastavitvijo v PayPal-u.","module","Magento_Paypal"
"Number of Child Authorizations","Število podrejenih avtorizacij","module","Magento_Paypal"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Privzeto število podrejenih avtorizacij v vašem računu PayPal je 1. Da naredite več avtorizacij, se obrnite na PayPal in zaprosite za povečanje.","module","Magento_Paypal"
"Advanced Settings","Napredne nastavitve","module","Magento_Paypal"
"Display on Shopping Cart","Prikaz pri košarici","module","Magento_Paypal"
"Also affects mini-shopping cart.","Vpliva tudi na mini nakupovalno košarico.","module","Magento_Paypal"
"Payment Applicable From","Plačilo je v uporabi iz","module","Magento_Paypal"
"Countries Payment Applicable From","Države, iz katerih je plačilo v uporabi","module","Magento_Paypal"
"Debug Mode","Način razhroščevanja","module","Magento_Paypal"
"Enable SSL verification","Omogoči preverjanje SSL","module","Magento_Paypal"
"Transfer Cart Line Items","Prenesi elemente vrstic košarice","module","Magento_Paypal"
"Transfer Shipping Options","Prenesi možnosti dostave","module","Magento_Paypal"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Če je ta možnost omogočena, kupec lahko spremeniti naslov in način dostave na strani PayPal. V načinu v živo deluje samo preko protokola HTTPS.","module","Magento_Paypal"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Pomnite, da PayPal lahko izvaja do 10 možnosti dostave. Zato bo Magento prenesel samo prvih 10 najcenejših možnosti dostave, če jih je na voljo več kot 10.","module","Magento_Paypal"
"Shortcut Buttons Flavor","Okus gumbov bližnjic","module","Magento_Paypal"
"Enable PayPal Guest Checkout","Omogoči PayPal Checkout za neprijavljene uporabnike","module","Magento_Paypal"
"Ability for buyer to purchase without PayPal account.","Možnost, da kupec opravi nakup brez računa PayPal.","module","Magento_Paypal"
"Require Customer's Billing Address","Zahtevaj naslov za račun kupca","module","Magento_Paypal"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Ta lastnost mora biti najprej omogočena za trgovski račun preko tehnične podpore PayPal.","module","Magento_Paypal"
"Billing Agreement Signup","Podpis sporazuma o zaračunavanju","module","Magento_Paypal"
"Whether to create a billing agreement, if there are no active billing agreements available.","Ali naj se ustvari sporazum zaračunavanja, če ni na voljo nobenega aktivnega sporazuma zaračunavanja.","module","Magento_Paypal"
"
                        Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.
                    ","
                        Trgovci morajo za omogočenje lastnosti sporazuma zaračunavanja zaprositi PayPal. Ne omogočite te možnosti, dokler PayPal ne potrdi, da so sporazumi zaračunavanja omogočeni za vaš trgovski račun.
                    ","module","Magento_Paypal"
"Skip Order Review Step","Preskoči korak pregleda naročila","module","Magento_Paypal"
"PayPal Billing Agreement Settings","PayPal nastavitve sporazuma zaračunavanja","module","Magento_Paypal"
"Enabled","Omogočeno","module","Magento_Paypal"
"
                            Will appear as a payment option only for customers who have at least one active billing agreement.
                        ","
                            Pojavilo se bo kot možnost plačila samo za kupce, ki imajo aktiven vsaj en sporazum obračunavanja.
                        ","module","Magento_Paypal"
"Allow in Billing Agreement Wizard","Omogoči v čarovniku sporazuma zaračunavanja","module","Magento_Paypal"
"Settlement Report Settings","Nastavitve poročila poravnave","module","Magento_Paypal"
"SFTP Credentials","SFTP poverilnice","module","Magento_Paypal"
"Login","Prijava","module","Magento_Paypal"
"Password","Geslo","module","Magento_Paypal"
"Custom Endpoint Hostname or IP-Address","Ime gostitelja končne točke po meri ali naslov IP","module","Magento_Paypal"
"By default it is ""reports.paypal.com"".","Privzeto je ""reports.paypal.com"".","module","Magento_Paypal"
"Use colon to specify port. For example: ""test.example.com:5224"".","Za določitev vrat uporabi dvopičje. Na primer: ""test.example.com:5224"".","module","Magento_Paypal"
"Custom Path","Pot po meri","module","Magento_Paypal"
"Scheduled Fetching","Načrtovano pridobivanje","module","Magento_Paypal"
"Enable Automatic Fetching","Omogoči samodejno pridobivanje","module","Magento_Paypal"
"Schedule","Razpored","module","Magento_Paypal"
"PayPal retains reports for 45 days.","PayPal ohranja poročila 45 dni.","module","Magento_Paypal"
"Time of Day","Čas dneva","module","Magento_Paypal"
"Frontend Experience Settings","Nastavitve izkušnje ospredja","module","Magento_Paypal"
"PayPal Product Logo","Logotip PayPal izdelka","module","Magento_Paypal"
"Displays on catalog pages and homepage.","Prikaži na straneh kataloga in domači strani.","module","Magento_Paypal"
"PayPal Merchant Pages Style","Slog trgovskih strani PayPal","module","Magento_Paypal"
"Page Style","Slog strani","module","Magento_Paypal"
