"Change Billing Address","Spremeni naslov za račun",module,Magento_Multishipping
"Ship to Multiple Addresses","Dostava na več naslovov",module,Magento_Multishipping
"Billing Information - %1","Podatki računa - %1",module,Magento_Multishipping
"Review Order - %1","Pregled naročila - %1",module,Magento_Multishipping
"Total","Skupaj",module,Magento_Multishipping
"Total for this address","Skupaj za ta naslov",module,Magento_Multishipping
"Shipping Methods","Načini dostave",module,Magento_Multishipping
"Edit Address","Uredi naslov",module,Magento_Multishipping
"Edit Billing Address","Uredi naslov za račun",module,Magento_Multishipping
"Edit Shipping Address","Uredi naslov za dostavo",module,Magento_Multishipping
"Create Billing Address","Ustvari naslov za račun",module,Magento_Multishipping
"Create Shipping Address","Ustvari naslov za dostavo",module,Magento_Multishipping
"Data saving problem","Težave pri shranjevanju podatkov",module,Magento_Multishipping
"We cannot open the overview page.","Strani pregleda ni mogoče odpreti.",module,Magento_Multishipping
"Please agree to all Terms and Conditions before placing the order.","Preden oddate naročilo, se morate strinjati z vsemi pravili in pogoji.",module,Magento_Multishipping
"Order place error","Napaka oddaje naročila",module,Magento_Multishipping
"Maximum qty allowed for Shipping to multiple addresses is %1","Največja količina dovoljena za dostavo na več naslovov je %1",module,Magento_Multishipping
"Please check shipping address information.","Preverite podatke o naslovu dostave.",module,Magento_Multishipping
"Please check billing address information.","Preverite podatke o naslovu računa.",module,Magento_Multishipping
"Please select shipping methods for all addresses.","Izberite načine dostave za vse naslove.",module,Magento_Multishipping
"A payment method is not defined.","Način plačila ni določen.",module,Magento_Multishipping
"The requested payment method is not available for multishipping.","Zahtevani način plačila ni na voljo za dostavo na več naslovov.",module,Magento_Multishipping
"Item not found or already ordered","Elementa ni mogoče najti ali pa je že naročen",module,Magento_Multishipping
"Please specify a payment method.","Navedite način plačila.",module,Magento_Multishipping
"Please check shipping addresses information.","Please check shipping addresses information.",module,Magento_Multishipping
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses.",module,Magento_Multishipping
"Select Addresses","Izberi naslove",module,Magento_Multishipping
"Shipping Information","Informacije dostave",module,Magento_Multishipping
"Billing Information","Informacije računa",module,Magento_Multishipping
"Place Order","Oddaj naročilo",module,Magento_Multishipping
"Order Success","Naročilo uspešno",module,Magento_Multishipping
"Default Billing","Privzeti račun",module,Magento_Multishipping
"Default Shipping","Privzeta dostava",module,Magento_Multishipping
"Select Address","Izberi naslov",module,Magento_Multishipping
"Add New Address","Dodaj nov naslov",module,Magento_Multishipping
"Back to Billing Information","Nazaj na informacije računa",module,Magento_Multishipping
"Please select a shipping address for applicable items.","Please select a shipping address for applicable items.",module,Magento_Multishipping
"Product","Izdelek",module,Magento_Multishipping
"Qty","Količina",module,Magento_Multishipping
"Send To","Send To",module,Magento_Multishipping
"A shipping selection is not applicable.","A shipping selection is not applicable.",module,Magento_Multishipping
"Actions","Dejanja",module,Magento_Multishipping
"Remove Item","Remove Item",module,Magento_Multishipping
"Remove item","Odstrani element",module,Magento_Multishipping
"Go to Shipping Information","Go to Shipping Information",module,Magento_Multishipping
"Update Qty &amp; Addresses","Update Qty &amp; Addresses",module,Magento_Multishipping
"Enter a New Address","Enter a New Address",module,Magento_Multishipping
"Back to Shopping Cart","Back to Shopping Cart",module,Magento_Multishipping
"Billing Address","Naslov za pošiljanje računa",module,Magento_Multishipping
"Change","Spremeni",module,Magento_Multishipping
"Payment Method","Payment Method",module,Magento_Multishipping
"Go to Review Your Order","Go to Review Your Order",module,Magento_Multishipping
"Back to Shipping Information","Back to Shipping Information",module,Magento_Multishipping
"Other items in your order","Other items in your order",module,Magento_Multishipping
"Edit Items","Edit Items",module,Magento_Multishipping
"Shipping is not applicable.","Shipping is not applicable.",module,Magento_Multishipping
"Product Name","Ime izdelka",module,Magento_Multishipping
"Check Out with Multiple Addresses","Check Out with Multiple Addresses",module,Magento_Multishipping
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>",module,Magento_Multishipping
"Shipping To","Shipping To",module,Magento_Multishipping
"Shipping Method","Shipping Method",module,Magento_Multishipping
"Incl. Tax","Z davkom",module,Magento_Multishipping
"Excl. Tax","Brez davka",module,Magento_Multishipping
"Order Review","Order Review",module,Magento_Multishipping
"Item","Element",module,Magento_Multishipping
"Edit","Uredi",module,Magento_Multishipping
"Price","Cena",module,Magento_Multishipping
"Subtotal","Delna vsota",module,Magento_Multishipping
"Items","Elementi",module,Magento_Multishipping
"Grand Total:","Grand Total:",module,Magento_Multishipping
"Submitting order information...","Submitting order information...",module,Magento_Multishipping
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now.",module,Magento_Multishipping
"Continue to Billing Information","Continue to Billing Information",module,Magento_Multishipping
"Back to Select Addresses","Back to Select Addresses",module,Magento_Multishipping
"Thank you for your purchase!","Thank you for your purchase!",module,Magento_Multishipping
"Thanks for your order. We\'ll email you order details and tracking information.","Thanks for your order. We\'ll email you order details and tracking information.",module,Magento_Multishipping
"Your order numbers are: ","Your order numbers are: ",module,Magento_Multishipping
"Your order number is: ","Your order number is: ",module,Magento_Multishipping
"Continue Shopping","Nadaljuj nakupovanje",module,Magento_Multishipping
"We can\'t complete your order because you don\'t have a payment method set up.","We can\'t complete your order because you don\'t have a payment method set up.",module,Magento_Multishipping
"Please choose a payment method.","Izberite način plačila.",module,Magento_Multishipping
"Multishipping Settings","Multishipping Settings",module,Magento_Multishipping
"Options","Možnosti",module,Magento_Multishipping
